Column1;Column2
Clindoxyl;Clindamicina + Peróxido de Benzoíla
Clobesol;Clobetasol
Clonixinato de Lisina;Clonixinato de Lisina
Leukeran;Clorambucila
Arifenicol;Cloranfenicol
DEXAFENICOL OCULUM;Cloranfenicol + Dexametasona
SOLUÇÃO DE RINGER COM LACTATO - FRASCO;Cloreto de Cálcio + Cloreto de Potássio + Cloreto de Sódio + Lactato de Sódio
;Cloreto de potássio
;Cloreto de sódio
Spasmex;Cloreto de tróspio
Fluviral Noite;Clorfeniramina + Fenilefrina + Paracetamol
Cloridrato de Benazepril;Cloridrato de Benazepril
Cloridrato de Bupivacaína;Cloridrato de Bupivacaína
Cloridrato de Cefepime;Cloridrato de Cefepime
Cloridrato de Cinacalcete;Cloridrato de Cinacalcete
Cloridrato de Clobutinol;Cloridrato de Clobutinol
Cloridrato de Clobutinol + Succinato de Doxilamina;Cloridrato de Clobutinol + Succinato de Doxilamina
Cloridrato de Dobutamina;Cloridrato de Dobutamina
Cloridrato de Dopamina;Cloridrato de Dopamina
Cloridrato de Epirrubicina;Cloridrato de Epirrubicina
Cloridrato de Fingolimode;Cloridrato de Fingolimode
Cloridrato de Gencitabina;Cloridrato de Gencitabina
Cloridrato de Irinotecano;Cloridrato de Irinotecano
Cloridrato de Lercanidipino;Cloridrato de Lercanidipino
Cloridrato de Lidocaína;Cloridrato de Lidocaína
Cloridrato de Lincomicina;Cloridrato de Lincomicina
Cloridrato de Mepivacaína;Cloridrato de Mepivacaína
Cloridrato de Naratriptana;Cloridrato de Naratriptana
Cloridrato de Petidina;Cloridrato de Petidina
Cloridrato de Pioglitazona;Cloridrato de Pioglitazona
Cloridrato de Ranitidina;Cloridrato de Ranitidina
Cloridrato de Ropivacaína;Cloridrato de Ropivacaína
Cloridrato de Tetraciclina;Cloridrato de Tetraciclina
Cloridrato de Tiamina;Cloridrato de Tiamina
Otrivina;Cloridrato de xilometazolina
Diabinese;Clorpropamida
Cotellic;Cobimetinibe
Algicod;Codeína + Paracetamol
Iruxol Mono;Colagenase
Osteofix 600 UI;Colecalciferol
QUESTRAN LIGHT;Colestiramina
Colistimetato de Sódio;Colistimetato de Sódio
Beriplex P/N;Complexo Protrombínico
Acheflan;Cordia verbenacea
Xalkori;Crizotinibe
Maxicrom 2% e 4%;Cromoglicato dissódico
;Cynara scolymus
Neosaldina Dip;DIPIRONA + ISOMETEPTENO + CAFEÍNA
Tafinlar;Dabrafenibe
Dacarbazina;Dacarbazina
Daklinza;Daclatasvir
ZENAPAX;Daclizumabe
K.U. DACTINOMYCIN;Dactinomicina
DANTROLEN IV;Dantroleno
Qtern;Dapagliflozina + Saxagliptina
Bromidrato De Darifenacina;Darifenacina
Viekira Pak;Dasabuvir + Ombitasvir + Paritaprevir + Ritonavir
Sprycel;Dasatinibe
Daunoblastina;Daunorrubicina
Exjade;Deferasirox
Ferriprox;Deferiprona
Calcort;Deflazacorte
Firmagon;Degarelix
Desforane;Desflurano
Desairon;Desloratadina
Dexacobal - União Quimica;Dexametasona + Cianocobalamina
Tobracort;Dexametasona + Tobramicina
Dexilant;Dexlansoprazol
SILENCIUM XAROPE;Dextrometorfano
DOLOXENE-A Cápsulas;Dextropropoxifeno + Paracetamol
Artrodar;Diacereína
DICLORIDRATO DE QUININA;Dicloridrato de quinina
Videx EC;Didanosina
Duphaston;Didrogesterona
Femoston;Didrogesterona + Estradiol
Dienogeste;Dienogeste
Dietilcarbamazina Citrato;Dietilcarbamazina
DIBENDRIL;Difenidramina
Nausilon B6;Dimenidrinato + Piridoxina
DIMERCAPROL;Dimercaprol
Tecfidera;Dimetilfumarato
Flebodia;Diosmina
Vênula;Diosmina + Hesperidina
PROPINE Colirio;Dipivefrina
Beclosol Nasal Spray;Dipropionato de beclometasona
Dobutrex;Dobutamina
Dovato;Dolutegravir + Lamivudina
Dopacris;Dopamina
Pulmozyme;Dornase alfa
K.U. DOXORUBICIN HCL;Doxorrubicina
DROPERDAL 2,5MG/ML 50AP. 1ML;Droperidol
Neotoss;Dropropizina
Slinda;Drospirenona
Angeliq;Drospirenona + Estradiol
Lizzy;Drospirenona + Etinilestradiol
Imfinzi;Durvalumabe
Combodart;Dutasterida + Tansulosina
Zepatier;Elbasvir + Grazoprevir
Cerdelga;Eliglustate
Empliciti;Elotuzumabe
Revolade;Eltrombopague
Emadine;Emedastina
Glyxambi;Empagliflozina + Linagliptina
Enfluran;Enflurano
Fuzeon;Enfuvirtida
Xtandi;Enzalutamida
Relestat;Epinastina
Epinefrina;Epinefrina
Hypocaína com vasoconstritor;Epinefrina + Lidocaína
Mepivalem Ad;Epinefrina + Mepivacaína
Farmorubicina RD;Epirrubicina
Inspra;Eplerenona
Eprex;Epoetina alfa
Recormon;Epoetina beta
Halaven;Eribulina
Eritropoietina;Eritropoietina
Spravato;Escetamina
Brevibloc;Esmolol
Vimovo;Esomeprazol + Naproxeno
Rovamicina;Espiramicina
Aldazida 50;Espironolactona + Hidroclorotiazida
MERIMONO;Estradiol
TRISEQUENS 2 mg;Estradiol + Noretisterona
FURP-estreptomicina;Estreptomicina
STREPTASE;Estreptoquinase
Estrionil;Estriol
Premarin;Estrogênios conjugados
Etilefril;Etilefrina
Dunia 35;Etinilestradiol + Drospirenona
FEMIANE;Etinilestradiol + Gestodeno
Evanor;Etinilestradiol + Levonorgestrel
Etodolaco;Etodolaco
Hypnomidate;Etomidato
Evoposdo;Etoposídeo
Intelence;Etravirina
EUCALIPTOL;Eucaliptol
Repatha;Evolocumabe
Aromasin;Exemestano
Fampyra;Fampridina
